confidence,location,sound,fpath
0.937536,0,S2,./data/set_a/__201012172010.wav
0.998743,500,S2,./data/set_a/__201012172010.wav
0.996928,1000,S2,./data/set_a/__201012172010.wav
0.997864,1500,S1,./data/set_a/__201012172010.wav
0.998815,2000,S2,./data/set_a/__201012172010.wav
0.986348,2500,S2,./data/set_a/__201012172010.wav
0.999915,3000,S2,./data/set_a/__201012172010.wav
0.999453,3500,S1,./data/set_a/__201012172010.wav
0.929523,4500,S1,./data/set_a/__201012172010.wav
0.992977,5500,S1,./data/set_a/__201012172010.wav
0.971629,6000,S2,./data/set_a/__201012172010.wav
0.999175,7000,S1,./data/set_a/__201012172010.wav
0.917574,7500,S2,./data/set_a/__201012172010.wav
0.990217,8000,S2,./data/set_a/__201012172010.wav
0.989791,8500,S1,./data/set_a/__201012172010.wav
0.999994,9000,S1,./data/set_a/__201012172010.wav
0.967857,9500,S1,./data/set_a/__201012172010.wav
0.99858,10000,S2,./data/set_a/__201012172010.wav
0.928484,11000,S1,./data/set_a/__201012172010.wav
0.997778,12000,S2,./data/set_a/__201012172010.wav
0.955356,12500,S1,./data/set_a/__201012172010.wav
0.994749,13000,S1,./data/set_a/__201012172010.wav
0.999885,13500,S2,./data/set_a/__201012172010.wav
0.997348,14500,S2,./data/set_a/__201012172010.wav
0.904298,15000,S2,./data/set_a/__201012172010.wav
0.947996,15500,S2,./data/set_a/__201012172010.wav
0.99999,16000,S2,./data/set_a/__201012172010.wav
0.941869,17500,S1,./data/set_a/__201012172010.wav
0.963039,18000,S2,./data/set_a/__201012172010.wav
0.92284,19000,S1,./data/set_a/__201012172010.wav
0.998961,20000,S1,./data/set_a/__201012172010.wav
0.998686,20500,S2,./data/set_a/__201012172010.wav
0.999972,21000,S1,./data/set_a/__201012172010.wav
0.974601,21500,S1,./data/set_a/__201012172010.wav
0.999999,22500,S2,./data/set_a/__201012172010.wav
0.926553,23000,S2,./data/set_a/__201012172010.wav
0.975187,23500,S2,./data/set_a/__201012172010.wav
0.996132,24000,S1,./data/set_a/__201012172010.wav
0.991508,24500,S2,./data/set_a/__201012172010.wav
0.989508,26000,S1,./data/set_a/__201012172010.wav
0.999997,26500,S1,./data/set_a/__201012172010.wav
0.989636,27000,S1,./data/set_a/__201012172010.wav
0.993651,27500,S1,./data/set_a/__201012172010.wav
0.997772,28000,S1,./data/set_a/__201012172010.wav
0.999195,29000,S1,./data/set_a/__201012172010.wav
0.999999,30000,S1,./data/set_a/__201012172010.wav
0.922128,30500,S1,./data/set_a/__201012172010.wav
0.99851,31000,S2,./data/set_a/__201012172010.wav
0.97183,32000,S2,./data/set_a/__201012172010.wav
0.928395,32500,S1,./data/set_a/__201012172010.wav
0.924763,33000,S1,./data/set_a/__201012172010.wav
0.987823,34500,S1,./data/set_a/__201012172010.wav
0.970425,35000,S2,./data/set_a/__201012172010.wav
0.925438,35500,S2,./data/set_a/__201012172010.wav
0.986835,36000,S1,./data/set_a/__201012172010.wav
0.999411,36500,S2,./data/set_a/__201012172010.wav
0.991734,38000,S1,./data/set_a/__201012172010.wav
0.998424,38500,S1,./data/set_a/__201012172010.wav
0.988849,40000,S2,./data/set_a/__201012172010.wav
0.932175,40500,S2,./data/set_a/__201012172010.wav
0.999965,41000,S2,./data/set_a/__201012172010.wav
0.99692,41500,S1,./data/set_a/__201012172010.wav
0.998151,42000,S1,./data/set_a/__201012172010.wav
0.938509,42500,S2,./data/set_a/__201012172010.wav
0.931154,44500,S2,./data/set_a/__201012172010.wav
0.954844,45500,S1,./data/set_a/__201012172010.wav
0.976441,46000,S1,./data/set_a/__201012172010.wav
0.98395,46500,S2,./data/set_a/__201012172010.wav
0.997748,47000,S1,./data/set_a/__201012172010.wav
0.998013,48000,S1,./data/set_a/__201012172010.wav
0.989457,48500,S1,./data/set_a/__201012172010.wav
0.999917,49000,S2,./data/set_a/__201012172010.wav
0.968514,50000,S1,./data/set_a/__201012172010.wav
0.981834,50500,S2,./data/set_a/__201012172010.wav
0.909209,51000,S1,./data/set_a/__201012172010.wav
0.999766,52000,S2,./data/set_a/__201012172010.wav
0.944315,52500,S1,./data/set_a/__201012172010.wav
0.936844,53000,S2,./data/set_a/__201012172010.wav
0.924378,53500,S2,./data/set_a/__201012172010.wav
0.95203,54000,S1,./data/set_a/__201012172010.wav
0.984341,55000,S2,./data/set_a/__201012172010.wav
0.999983,55500,S2,./data/set_a/__201012172010.wav
0.970528,56000,S1,./data/set_a/__201012172010.wav
0.979983,58500,S2,./data/set_a/__201012172010.wav
0.993156,59000,S2,./data/set_a/__201012172010.wav
0.977492,59500,S1,./data/set_a/__201012172010.wav
0.983024,60500,S1,./data/set_a/__201012172010.wav
0.966838,62500,S1,./data/set_a/__201012172010.wav
0.993422,63000,S1,./data/set_a/__201012172010.wav
0.983937,64000,S2,./data/set_a/__201012172010.wav
0.998083,65000,S2,./data/set_a/__201012172010.wav
0.977989,65500,S2,./data/set_a/__201012172010.wav
0.992983,66000,S2,./data/set_a/__201012172010.wav
0.998164,66500,S1,./data/set_a/__201012172010.wav
0.999628,67000,S1,./data/set_a/__201012172010.wav
0.999998,68500,S2,./data/set_a/__201012172010.wav
0.99746,70000,S2,./data/set_a/__201012172010.wav
0.930839,71000,S1,./data/set_a/__201012172010.wav
0.977753,71500,S1,./data/set_a/__201012172010.wav
0.987314,72000,S1,./data/set_a/__201012172010.wav
0.995031,73500,S2,./data/set_a/__201012172010.wav
0.999976,74000,S2,./data/set_a/__201012172010.wav
0.999547,74500,S1,./data/set_a/__201012172010.wav
0.999994,75000,S2,./data/set_a/__201012172010.wav
1.0,75500,S1,./data/set_a/__201012172010.wav
0.997827,76000,S1,./data/set_a/__201012172010.wav
0.999994,76500,S1,./data/set_a/__201012172010.wav
0.986178,77000,S2,./data/set_a/__201012172010.wav
0.93615,77500,S1,./data/set_a/__201012172010.wav
0.925467,78000,S2,./data/set_a/__201012172010.wav
0.98681,79000,S1,./data/set_a/__201012172010.wav
0.999958,79500,S1,./data/set_a/__201012172010.wav
0.903606,80000,S1,./data/set_a/__201012172010.wav
0.998923,81000,S1,./data/set_a/__201012172010.wav
0.98309,81500,S2,./data/set_a/__201012172010.wav
0.971726,82000,S1,./data/set_a/__201012172010.wav
0.980853,83000,S1,./data/set_a/__201012172010.wav
0.956476,83500,S2,./data/set_a/__201012172010.wav
0.999519,84000,S1,./data/set_a/__201012172010.wav
0.996268,85000,S1,./data/set_a/__201012172010.wav
0.96156,85500,S2,./data/set_a/__201012172010.wav
0.999715,86000,S1,./data/set_a/__201012172010.wav
0.911709,88000,S2,./data/set_a/__201012172010.wav
0.99967,89000,S2,./data/set_a/__201012172010.wav
0.999996,89500,S2,./data/set_a/__201012172010.wav
0.9522,90000,S1,./data/set_a/__201012172010.wav
0.998447,90500,S2,./data/set_a/__201012172010.wav
0.987755,91000,S2,./data/set_a/__201012172010.wav
0.961031,91500,S2,./data/set_a/__201012172010.wav
0.9977,92000,S1,./data/set_a/__201012172010.wav
0.967318,92500,S1,./data/set_a/__201012172010.wav
0.965304,94000,S2,./data/set_a/__201012172010.wav
0.967501,94500,S2,./data/set_a/__201012172010.wav
0.936008,95000,S1,./data/set_a/__201012172010.wav
0.995859,95500,S2,./data/set_a/__201012172010.wav
0.972811,96000,S2,./data/set_a/__201012172010.wav
0.985328,97000,S1,./data/set_a/__201012172010.wav
0.997493,98000,S2,./data/set_a/__201012172010.wav
0.989918,98500,S1,./data/set_a/__201012172010.wav
0.927441,99000,S2,./data/set_a/__201012172010.wav
0.986945,100500,S2,./data/set_a/__201012172010.wav
0.923135,101000,S2,./data/set_a/__201012172010.wav
0.999967,101500,S1,./data/set_a/__201012172010.wav
0.998804,102500,S2,./data/set_a/__201012172010.wav
0.998734,103000,S1,./data/set_a/__201012172010.wav
0.98141,104500,S2,./data/set_a/__201012172010.wav
0.998912,105500,S2,./data/set_a/__201012172010.wav
0.9802,107000,S2,./data/set_a/__201012172010.wav
0.99684,108000,S2,./data/set_a/__201012172010.wav
0.988139,108500,S1,./data/set_a/__201012172010.wav
0.933678,109000,S1,./data/set_a/__201012172010.wav
0.999998,109500,S1,./data/set_a/__201012172010.wav
0.971795,110000,S2,./data/set_a/__201012172010.wav
0.975123,110500,S2,./data/set_a/__201012172010.wav
0.999333,111000,S1,./data/set_a/__201012172010.wav
0.995947,111500,S2,./data/set_a/__201012172010.wav
0.932331,112000,S1,./data/set_a/__201012172010.wav
0.999858,112500,S2,./data/set_a/__201012172010.wav
0.997558,113000,S2,./data/set_a/__201012172010.wav
0.96037,113500,S1,./data/set_a/__201012172010.wav
0.969252,114500,S2,./data/set_a/__201012172010.wav
0.997614,115000,S1,./data/set_a/__201012172010.wav
0.99924,115500,S2,./data/set_a/__201012172010.wav
0.999816,116500,S1,./data/set_a/__201012172010.wav
0.989826,117000,S1,./data/set_a/__201012172010.wav
0.983789,117500,S2,./data/set_a/__201012172010.wav
0.99993,118000,S1,./data/set_a/__201012172010.wav
0.967243,118500,S1,./data/set_a/__201012172010.wav
0.944384,120000,S2,./data/set_a/__201012172010.wav
0.964869,120500,S1,./data/set_a/__201012172010.wav
0.999288,121000,S1,./data/set_a/__201012172010.wav
0.999697,121500,S2,./data/set_a/__201012172010.wav
0.999994,122000,S1,./data/set_a/__201012172010.wav
0.973931,122500,S1,./data/set_a/__201012172010.wav
0.975554,123000,S2,./data/set_a/__201012172010.wav
0.99997,124000,S2,./data/set_a/__201012172010.wav
0.999533,125000,S1,./data/set_a/__201012172010.wav
0.998258,125500,S1,./data/set_a/__201012172010.wav
0.987319,126000,S2,./data/set_a/__201012172010.wav
0.999503,127000,S1,./data/set_a/__201012172010.wav
0.999718,127500,S2,./data/set_a/__201012172010.wav
0.93805,128000,S2,./data/set_a/__201012172010.wav
0.999358,128500,S2,./data/set_a/__201012172010.wav
1.0,129000,S1,./data/set_a/__201012172010.wav
0.970943,129500,S2,./data/set_a/__201012172010.wav
0.998726,130500,S2,./data/set_a/__201012172010.wav
0.99172,131500,S2,./data/set_a/__201012172010.wav
0.996861,132000,S1,./data/set_a/__201012172010.wav
0.998571,133000,S2,./data/set_a/__201012172010.wav
0.998696,134000,S2,./data/set_a/__201012172010.wav
0.999113,134500,S1,./data/set_a/__201012172010.wav
0.999552,135000,S1,./data/set_a/__201012172010.wav
0.997011,135500,S1,./data/set_a/__201012172010.wav
0.900334,136000,S2,./data/set_a/__201012172010.wav
0.999972,136500,S2,./data/set_a/__201012172010.wav
0.999793,137000,S1,./data/set_a/__201012172010.wav
0.999873,137500,S2,./data/set_a/__201012172010.wav
0.990918,138000,S1,./data/set_a/__201012172010.wav
0.996218,138500,S2,./data/set_a/__201012172010.wav
0.999178,139500,S2,./data/set_a/__201012172010.wav
0.996235,140000,S2,./data/set_a/__201012172010.wav
0.93474,140500,S1,./data/set_a/__201012172010.wav
0.957976,141500,S1,./data/set_a/__201012172010.wav
0.989864,142000,S2,./data/set_a/__201012172010.wav
0.999984,143000,S2,./data/set_a/__201012172010.wav
0.972908,143500,S2,./data/set_a/__201012172010.wav
0.969825,144000,S2,./data/set_a/__201012172010.wav
0.980924,144500,S1,./data/set_a/__201012172010.wav
0.999614,149000,S1,./data/set_a/__201012172010.wav
0.999995,149500,S1,./data/set_a/__201012172010.wav
0.999951,151000,S2,./data/set_a/__201012172010.wav
0.969524,152000,S1,./data/set_a/__201012172010.wav
0.982758,152500,S1,./data/set_a/__201012172010.wav
0.996811,153000,S2,./data/set_a/__201012172010.wav
0.998904,153500,S1,./data/set_a/__201012172010.wav
0.980813,154000,S1,./data/set_a/__201012172010.wav
0.996034,154500,S1,./data/set_a/__201012172010.wav
0.970171,155000,S2,./data/set_a/__201012172010.wav
0.99934,155500,S1,./data/set_a/__201012172010.wav
1.0,156500,S2,./data/set_a/__201012172010.wav
0.981964,157000,S1,./data/set_a/__201012172010.wav
1.0,157500,S2,./data/set_a/__201012172010.wav
0.998315,158000,S1,./data/set_a/__201012172010.wav
0.997521,158500,S1,./data/set_a/__201012172010.wav
0.998547,159000,S2,./data/set_a/__201012172010.wav
0.999772,159500,S2,./data/set_a/__201012172010.wav
0.998772,160000,S2,./data/set_a/__201012172010.wav
0.929865,160500,S2,./data/set_a/__201012172010.wav
0.987744,161500,S2,./data/set_a/__201012172010.wav
0.999986,162000,S2,./data/set_a/__201012172010.wav
0.999993,162500,S2,./data/set_a/__201012172010.wav
0.999862,163000,S1,./data/set_a/__201012172010.wav
0.9978,163500,S2,./data/set_a/__201012172010.wav
0.998984,164000,S1,./data/set_a/__201012172010.wav
0.947173,165000,S1,./data/set_a/__201012172010.wav
0.957034,165500,S2,./data/set_a/__201012172010.wav
0.993813,166000,S1,./data/set_a/__201012172010.wav
0.933338,166500,S2,./data/set_a/__201012172010.wav
0.999958,167000,S2,./data/set_a/__201012172010.wav
0.99984,167500,S1,./data/set_a/__201012172010.wav
0.999903,168000,S1,./data/set_a/__201012172010.wav
0.999965,168500,S2,./data/set_a/__201012172010.wav
0.999628,169500,S2,./data/set_a/__201012172010.wav
0.999999,170000,S1,./data/set_a/__201012172010.wav
0.908259,170500,S1,./data/set_a/__201012172010.wav
0.950362,171000,S2,./data/set_a/__201012172010.wav
0.967114,171500,S2,./data/set_a/__201012172010.wav
0.999999,172000,S1,./data/set_a/__201012172010.wav
0.997272,173500,S2,./data/set_a/__201012172010.wav
0.969647,174000,S1,./data/set_a/__201012172010.wav
0.980155,175000,S1,./data/set_a/__201012172010.wav
0.999999,176000,S2,./data/set_a/__201012172010.wav
